word_id,root_id,link_index,target_identifier,target_type,target_id
40860f0a-69d4-4d94-8f4f-55c1657f37aa,8d09ac5a-efca-4eca-9d36-a0b623892bf0,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
1957183f-5548-4d71-94fa-2cdc6776102e,98e6651d-8b5e-462a-adb2-dc5da6edb65c,1,come,word,bed2da61-da50-4e6e-ad60-0caa543d62a8
1957183f-5548-4d71-94fa-2cdc6776102e,8d09ac5a-efca-4eca-9d36-a0b623892bf0,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
0a6a6e76-f01d-4a87-a3a7-5a7cd4baf2f3,adcb3710-4a7c-4db3-bb34-a3f46d9c8946,1,pro-,prefix,40e680cb-32e4-4cff-bb9c-b17989a9fa1a
05947739-2df7-420a-bbb3-329dd51f8cd1,4d33a813-0ef8-4977-817f-6b8ae384ace0,1,re-,prefix,25c9c982-54cc-42c6-8d13-31b6232755b7
be00046f-4666-40fd-b9b5-fae7b353b2d6,4d33a813-0ef8-4977-817f-6b8ae384ace0,1,re-,prefix,25c9c982-54cc-42c6-8d13-31b6232755b7
2e2cbf9d-2e21-4eb5-a751-c5c31dd10e07,92821a39-ec41-44f4-843c-3c5f16bfca62,1,man,word,4b5ad6eb-4874-49e1-88ba-adc244daec95
bbaa98ad-99b6-464a-b30d-184ed476130f,92821a39-ec41-44f4-843c-3c5f16bfca62,1,man,word,4b5ad6eb-4874-49e1-88ba-adc244daec95
d57613e6-e0c7-4fbf-9e74-ee008ce4d627,92821a39-ec41-44f4-843c-3c5f16bfca62,1,man,word,4b5ad6eb-4874-49e1-88ba-adc244daec95
15cdb56c-6848-4571-8723-be473b219dfd,92821a39-ec41-44f4-843c-3c5f16bfca62,1,man,word,4b5ad6eb-4874-49e1-88ba-adc244daec95
f30b96b7-f915-43ca-88f0-01929a0c0afb,e9081b64-24c5-45e6-ab9e-64161a4b9d55,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
6b98469f-1de7-4839-8a4e-068efdf255ba,e9081b64-24c5-45e6-ab9e-64161a4b9d55,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
cecd313e-b2cb-4a52-ae5f-718063c44d2d,e9081b64-24c5-45e6-ab9e-64161a4b9d55,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
e716187e-c3be-4f6d-ac7b-7dc0b2d15d9e,e9081b64-24c5-45e6-ab9e-64161a4b9d55,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
0ffd8012-9ddf-43bc-9bca-eefa7c2bff3f,a14b5b17-159f-4ecb-9145-0aad6a0ccc48,1,have,word,1caf16a2-bdea-4704-b119-50af402b3b77
34ce42d7-a655-4d7b-9b76-abe62712d620,a14b5b17-159f-4ecb-9145-0aad6a0ccc48,1,have,word,1caf16a2-bdea-4704-b119-50af402b3b77
2f275fb6-1560-47e5-a87c-4ea1571d63bc,a14b5b17-159f-4ecb-9145-0aad6a0ccc48,1,have,word,1caf16a2-bdea-4704-b119-50af402b3b77
9ce1db83-5de1-4c0b-9753-bed99a4351f2,de761270-a58d-4822-8a24-110b2521fb24,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
d6468400-fceb-4bb4-b7cf-a64d800da7b2,de761270-a58d-4822-8a24-110b2521fb24,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
808f1290-285b-4405-9605-8c0d32506f26,e63cdbbb-8bfb-442b-b49a-bd01c7f68aff,1,at,word,9c2f1b32-39ad-4c43-8c8d-ae84d4272e3b
808f1290-285b-4405-9605-8c0d32506f26,d4a5dc4c-daa6-4258-b4f3-4b4e9a43bba7,1,act,word,f6c6ec73-4848-4690-a4b6-c7be1e84aa13
2d72bc0a-1e50-41e4-b458-e8e152d3d8c4,e63cdbbb-8bfb-442b-b49a-bd01c7f68aff,1,at,word,9c2f1b32-39ad-4c43-8c8d-ae84d4272e3b
2d72bc0a-1e50-41e4-b458-e8e152d3d8c4,d4a5dc4c-daa6-4258-b4f3-4b4e9a43bba7,1,act,word,f6c6ec73-4848-4690-a4b6-c7be1e84aa13
09370f89-9e0c-48ef-9876-8790e5f1d145,2c8f7c44-05fb-4ed7-a577-e8d22d2ef756,1,come,word,bed2da61-da50-4e6e-ad60-0caa543d62a8
f7eb273f-bb07-48c0-a062-a6160ef50d8f,de761270-a58d-4822-8a24-110b2521fb24,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
bf295b30-140d-4792-9a6e-b274081b35b9,de761270-a58d-4822-8a24-110b2521fb24,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
51506c5e-1407-4287-90d9-83b953a2571a,0815771c-a879-4c7e-b9b2-425daadb9957,1,ob-,prefix,b9a3b672-0067-42ec-a917-dc17338523a0
51506c5e-1407-4287-90d9-83b953a2571a,0815771c-a879-4c7e-b9b2-425daadb9957,2,op-,prefix,07e6b6fd-3e6e-42be-9cfe-11dcadb01cd9
51506c5e-1407-4287-90d9-83b953a2571a,0815771c-a879-4c7e-b9b2-425daadb9957,3,of-,prefix,366a998f-d20b-48c1-97c8-cf723bf4766e
51506c5e-1407-4287-90d9-83b953a2571a,0815771c-a879-4c7e-b9b2-425daadb9957,4,oc-,prefix,0815771c-a879-4c7e-b9b2-425daadb9957
51506c5e-1407-4287-90d9-83b953a2571a,e2886367-ddff-431b-895d-7f71b5981411,1,care,word,69493fae-4e11-41e4-a525-c15f83022370
dd7df190-f0c2-459e-b58e-5741db00cd88,0815771c-a879-4c7e-b9b2-425daadb9957,1,ob-,prefix,b9a3b672-0067-42ec-a917-dc17338523a0
