word_id,word_order,canonical_spelling,variants_json,entry_kind,source_roles,source_count,first_source_entry_id,homograph_sources
cet4-w-9a29847f7a9d8a0025aa,153,agenda,[],word,headword,1,cet2016-p023-r21-c1,0
cet4-w-e095d12bbceea91468be,154,agent,[],word,headword,1,cet2016-p023-r22-c1,0
cet4-w-ac7028003b190af110ef,155,aggression,[],word,listed_related,1,cet2016-p023-r25-c2,0
cet4-w-e18276e410584ed9a4b1,156,aggressive,[],word,headword,1,cet2016-p023-r25-c1,0
cet4-w-2951fba0d3bc5f2b9808,157,aging,"[""ageing""]",word,listed_related,1,cet2016-p023-r20-c3,0
cet4-w-23d56d7973abcce39362,158,ago,[],word,headword,1,cet2016-p023-r27-c1,0
cet4-w-224bd7f9b49f95bb44ce,159,agree,[],word,headword,1,cet2016-p023-r29-c1,0
cet4-w-53f07797255530c3b3b6,160,agreeable,[],word,listed_related,1,cet2016-p023-r29-c3,0
cet4-w-d838b6d9a7780a95dbe5,161,agreement,[],word,listed_related,1,cet2016-p023-r29-c2,0
cet4-w-2b23e713fdd5ad208ff1,162,agricultural,[],word,listed_related,1,cet2016-p023-r30-c2,0
cet4-w-7050d50383e85d57962a,163,agriculture,[],word,headword,1,cet2016-p023-r30-c1,0
cet4-w-dc8e38ed4d43cbd7145b,164,ahead,[],word,headword,1,cet2016-p023-r31-c1,0
cet4-w-6ec1d4570e178f8bc45f,165,aid,[],word,headword,1,cet2016-p023-r32-c1,0
cet4-w-0723e3d778f3f044c45b,166,AIDS,[],word,headword,1,cet2016-p023-r34-c1,0
cet4-w-5273b9826de04f678d1b,167,aim,[],word,headword,1,cet2016-p023-r36-c1,0
cet4-w-754a622547c2b0e21879,168,air,[],word,headword,1,cet2016-p023-r37-c1,0
cet4-w-d601f47662d997b92b2e,169,air-conditioner,[],word,listed_related,1,cet2016-p023-r39-c2,0
cet4-w-dd0e523c2a7c752a7b46,170,air-conditioning,[],word,headword,1,cet2016-p023-r39-c1,0
cet4-w-8cf065b326b5bc0e282f,171,aircraft,[],word,headword,1,cet2016-p023-r40-c1,0
cet4-w-4410c4b245aa7dc880b5,172,airline,[],word,headword,1,cet2016-p023-r41-c1,0
cet4-w-f2ec9ab237f25e3fdc36,173,airplane,"[""aeroplane""]",word,headword,1,cet2016-p023-r42-c1,0
cet4-w-196eea6931afa61926c6,174,airport,[],word,headword,1,cet2016-p024-r01-c1,0
cet4-w-1994cbe07b013902544c,175,aisle,[],word,headword,1,cet2016-p024-r02-c1,0
cet4-w-6f63df0ae27e11526e7c,176,alarm,[],word,headword,1,cet2016-p024-r04-c1,0
cet4-w-49d3fb0f33fba522db3f,177,album,[],word,headword,1,cet2016-p024-r05-c1,0
cet4-w-2c66662e02ac749156f4,178,alcohol,[],word,headword,1,cet2016-p024-r06-c1,0
cet4-w-7bec91eab8ce33a8b863,179,alcoholic,[],word,listed_related,1,cet2016-p024-r06-c2,0
cet4-w-5cba5a09b090025e5acd,180,alert,[],word,headword,1,cet2016-p024-r08-c1,0
cet4-w-cee170e7a1791bfc2289,181,algebra,[],word,headword,1,cet2016-p024-r09-c1,0
cet4-w-0f7836947bf55564497f,182,alike,[],word,headword,1,cet2016-p024-r12-c1,0
cet4-w-da93fcfc874bba0a6298,183,alive,[],word,headword,1,cet2016-p024-r13-c1,0
cet4-w-f4529162f8a32de913fa,184,all,[],word,headword,1,cet2016-p024-r14-c1,0
cet4-w-4a575d2852cbab8a12ff,185,allegation,[],word,listed_related,1,cet2016-p024-r15-c2,0
cet4-w-4f94e9dc1e5aaee7b1e0,186,allege,[],word,headword,1,cet2016-p024-r15-c1,0
cet4-w-760c96a5ae4e10b05524,187,alleged,[],word,listed_related,1,cet2016-p024-r15-c3,0
cet4-w-62b83d1aad1ae8708b1b,188,allegedly,[],word,listed_related,1,cet2016-p024-r15-c4,0
cet4-w-3d3fc6af3a30dd9e0a8b,189,alley,[],word,headword,1,cet2016-p024-r18-c1,0
cet4-w-3ea1205fb033f1fef975,190,alliance,[],word,listed_related,1,cet2016-p024-r26-c2,0
cet4-w-5aa40972f773c5c445f8,191,allow,[],word,headword,1,cet2016-p024-r21-c1,0
cet4-w-0927f885f060d30e32f1,192,allowance,[],word,headword,1,cet2016-p024-r22-c1,0
cet4-w-d757fb4d56efefde3164,193,ally,[],word,headword,1,cet2016-p024-r26-c1,0
cet4-w-a2ba1da37002e751a2c0,194,almost,[],word,headword,1,cet2016-p024-r28-c1,0
cet4-w-861169b4b0999421460f,195,alone,[],word,headword,1,cet2016-p024-r30-c1,0
cet4-w-623184b3e2dd80ac964b,196,along,[],word,headword,1,cet2016-p024-r31-c1,0
cet4-w-5f21d0590a638703c767,197,alongside,[],word,headword,1,cet2016-p024-r32-c1,0
cet4-w-8680684c9767ed4fd4e1,198,aloud,[],word,headword,1,cet2016-p024-r33-c1,0
cet4-w-560ed2b14539b745119d,199,alphabet,[],word,headword,1,cet2016-p024-r34-c1,0
cet4-w-22bd9a7c4a06152e3ff9,200,alphabetic,[],word,listed_related,1,cet2016-p024-r34-c2,0
cet4-w-b23adfa2394d209677b1,201,alphabetical,[],word,listed_related,1,cet2016-p024-r34-c2,0
cet4-w-b8ca14ca458b83a7e387,202,already,[],word,headword,1,cet2016-p024-r35-c1,0
