word_id,canonical_spelling,source_entry_id,entry_role,source_homograph_number,normalization_kind
cet4-w-9f6f3c04f7aadf75ae4f,seemingly,cet2016-p121-r08-c3,listed_related,,literal
cet4-w-f6bd1fc598a5b8d0c745,segment,cet2016-p121-r09-c1,headword,,literal
cet4-w-0aaf6c2e6f6fb1ca2ffe,segmental,cet2016-p121-r09-c2,listed_related,,literal
cet4-w-9b0ef75cfc35ff1b2f90,seize,cet2016-p121-r11-c1,headword,,literal
cet4-w-65e6befe772c595ec896,seizure,cet2016-p121-r11-c2,listed_related,,literal
cet4-w-d1ee084ae69979c98f49,seldom,cet2016-p121-r12-c1,headword,,literal
cet4-w-13c72997553fc74049a1,select,cet2016-p121-r13-c1,headword,,literal
cet4-w-bad32a27fa8bb0d99203,selection,cet2016-p121-r13-c2,listed_related,,literal
cet4-w-bd4ebbc5d7b1ec8fb64c,selective,cet2016-p121-r13-c3,listed_related,,literal
cet4-w-12ac414e46738eb5274a,self,cet2016-p121-r14-c1,headword,,literal
cet4-w-fb15ccdcd1fa2f726698,selfish,cet2016-p121-r14-c2,listed_related,,literal
cet4-w-651a8b842db6dde8ab0e,selfless,cet2016-p121-r14-c3,listed_related,,literal
cet4-w-f7ee0aeb5574da868bdb,sell,cet2016-p121-r15-c1,headword,,literal
cet4-w-35fbce9602c54710d1f4,semester,cet2016-p121-r16-c1,headword,,literal
cet4-w-008242286f51cd1a1c57,seminar,cet2016-p121-r17-c1,headword,,literal
cet4-w-62374611866f9cac7c78,senate,cet2016-p121-r18-c1,headword,,literal
cet4-w-093e755dcbe0639e9dda,senator,cet2016-p121-r18-c2,listed_related,,literal
cet4-w-0ba2c8b48de77d8e6c31,send,cet2016-p121-r19-c1,headword,,literal
cet4-w-ab1c66b18c8678ddc9e6,senior,cet2016-p121-r20-c1,headword,,literal
cet4-w-557d72fd5c749e74e6a6,seniority,cet2016-p121-r20-c2,listed_related,,literal
cet4-w-71f467d6ea7f545d4cad,sense,cet2016-p121-r22-c1,headword,,literal
cet4-w-00892f9a91d7b5ea65a9,sensible,cet2016-p121-r22-c2,listed_related,,literal
cet4-w-dec293a4c7751bea5389,sensor,cet2016-p121-r22-c3,listed_related,,literal
cet4-w-485b5909ed8715160dd8,sensitive,cet2016-p121-r23-c1,headword,,literal
cet4-w-9d989253bdec0e0aee36,sensitivity,cet2016-p121-r23-c2,listed_related,,literal
cet4-w-d0b0825516e781997acc,sentence,cet2016-p121-r24-c1,headword,,literal
cet4-w-e58dc55ed7fe9ef56059,separate,cet2016-p121-r26-c1,headword,,literal
cet4-w-2ecb3afdb40fbb3876f4,separation,cet2016-p121-r26-c2,listed_related,,literal
cet4-w-38987185bb72ad42c4c6,separatist,cet2016-p121-r26-c3,listed_related,,literal
cet4-w-2a4ba32940a1345c9ea0,September,cet2016-p121-r27-c1,headword,,literal
cet4-w-a06e2dc41964addca05d,sequence,cet2016-p121-r28-c1,headword,,literal
cet4-w-93ab822f42a749141f72,sequential,cet2016-p121-r28-c2,listed_related,,literal
cet4-w-f5c55384aa130d4ac228,series,cet2016-p121-r31-c1,headword,,literal
cet4-w-1843954421166a09c439,serious,cet2016-p121-r32-c1,headword,,literal
cet4-w-b72f4d179f6383e624ec,servant,cet2016-p121-r33-c1,headword,,literal
cet4-w-242b77222389d5921aad,serve,cet2016-p121-r34-c1,headword,,literal
cet4-w-40f6eacbb66da2ba0f66,service,cet2016-p121-r34-c2,listed_related,,literal
cet4-w-891135dc3ae37e758465,serving,cet2016-p121-r34-c3,listed_related,,literal
cet4-w-8dd267da85f99f95dacc,session,cet2016-p121-r35-c1,headword,,literal
cet4-w-ff708bcdc694926ebfea,set,cet2016-p121-r36-c1,headword,,literal
cet4-w-a3eb67e0ca1050814365,setback,cet2016-p121-r37-c1,headword,,literal
cet4-w-3bf09a6ce0bf8d60a851,setting,cet2016-p121-r38-c1,headword,,literal
cet4-w-8a121cdd07de695ccaf9,settle,cet2016-p121-r39-c1,headword,,literal
cet4-w-5f4eae3a8133369790ad,settlement,cet2016-p121-r39-c2,listed_related,,literal
cet4-w-ca0d198f5dbf322f4ff0,seven,cet2016-p121-r40-c1,headword,,literal
cet4-w-9e7adf12bc45a9284951,seventeen,cet2016-p121-r41-c1,headword,,literal
cet4-w-1958ddd8034bf1bfd4a4,seventy,cet2016-p121-r42-c1,headword,,literal
cet4-w-fed23ffbfbef44767127,several,cet2016-p122-r01-c1,headword,,literal
cet4-w-6538ea479d4a1edcff61,severe,cet2016-p122-r02-c1,headword,,literal
cet4-w-0f973ea88781ee6c202a,severity,cet2016-p122-r02-c2,listed_related,,literal
cet4-w-7f2c7657ff5172e58cf0,sew,cet2016-p122-r03-c1,headword,,literal
cet4-w-f52057195dad8c49e550,sex,cet2016-p122-r04-c1,headword,,literal
cet4-w-891ff913be423f101a66,sexy,cet2016-p122-r04-c2,listed_related,,literal
cet4-w-0c6fdddd50aaf0dcaab6,sexual,cet2016-p122-r04-c3,listed_related,,literal
cet4-w-cb4d1b8e93884f08ce84,shade,cet2016-p122-r06-c1,headword,,literal
cet4-w-e95f3406bc98eae07101,shady,cet2016-p122-r06-c2,listed_related,,literal
cet4-w-008ee8db81361aeaf6d5,shadow,cet2016-p122-r07-c1,headword,,literal
cet4-w-329d8650e6d4924f9ead,shake,cet2016-p122-r09-c1,headword,,literal
cet4-w-1c43f0d59d48034ee8ab,shaky,cet2016-p122-r09-c2,listed_related,,literal
cet4-w-447cdbeed5e8ed7e5ae0,shall,cet2016-p122-r10-c1,headword,,literal
cet4-w-e9bb06a9680de34e912f,shallow,cet2016-p122-r11-c1,headword,,literal
cet4-w-0f4a97898b57971fd55a,shame,cet2016-p122-r12-c1,headword,,literal
cet4-w-55eda5819a721af8027b,shameful,cet2016-p122-r12-c2,listed_related,,literal
cet4-w-5bfcd5459288b6f3a353,shameless,cet2016-p122-r12-c3,listed_related,,literal
cet4-w-da697a85f92d78748f21,shape,cet2016-p122-r13-c1,headword,,literal
cet4-w-a621ec4e922de6c0d473,share,cet2016-p122-r14-c1,headword,,literal
cet4-w-06726c132ca3f33c5f3e,sharp,cet2016-p122-r16-c1,headword,,literal
cet4-w-db88a7d42c96544b6e05,sharpen,cet2016-p122-r16-c2,listed_related,,literal
cet4-w-963a16be46f46525f4d5,shave,cet2016-p122-r18-c1,headword,,literal
cet4-w-48fb4b91bdbb85ce9ece,shaver,cet2016-p122-r18-c2,listed_related,,literal
